Region;Places_reporting_cases;Sum_of_Cases;Sum_of_Deaths;Confirmed_cases_in_the_last_15_days
Asia;Brunei_Darussalam;91;0;91
Asia;Cambodia;87;0;85
Asia;Oman;66;0;50
Asia;Kazakhstan;62;0;62
Asia;Palestine;59;0;40
Asia;Uzbekistan;49;0;49
Asia;Afghanistan;40;1;36
Asia;Mauritius;36;2;36
Asia;Bangladesh;33;3;30
Asia;Kyrgyzstan;16;0;16
Asia;Maldives;13;0;9
Asia;Mongolia;10;0;10
Asia;Bhutan;2;0;1
Asia;Nepal;2;0;1
Asia;Myanmar;2;0;2
Asia;Timor_Leste;1;0;1
Asia;Syria;1;0;1
Europe;Italy;63927;6077;56552
Europe;Spain;33089;2182;32500
Europe;Germany;29212;126;28310
Europe;France;19856;860;18730
Europe;Switzerland;8015;66;7683
Europe;United_Kingdom;6650;335;6377
Europe;Netherlands;4749;213;4484
Europe;Austria;4486;25;4384
Europe;Belgium;3743;88;3543
Europe;Norway;2371;8;2202
Europe;Portugal;2060;23;2030
Europe;Sweden;2016;25;1813
Europe;Turkey;1529;37;1529
Europe;Denmark;1460;24;1422
Europe;Czech_Republic;1236;1;1204
Europe;Ireland;1125;6;1104
Europe;Luxembourg;875;8;870
Europe;Poland;749;8;738
Europe;Finland;700;1;670
Europe;Greece;695;17;622
Europe;Iceland;588;2;533
Europe;Romania;576;7;561
Europe;Slovenia;442;1;426
Europe;Russia;438;0;428
Europe;Estonia;352;0;342
Europe;Croatia;306;0;294
Europe;Serbia;222;1;221
Europe;Bulgaria;201;3;197
Europe;Armenia;194;0;193
Europe;Slovakia;191;0;186
Europe;San_Marino;187;20;150
Europe;Hungary;187;8;179
Europe;Latvia;180;0;177
Europe;Lithuania;179;1;178
Europe;North_Macedonia;136;2;133
Europe;Andorra;133;0;132
Europe;Bosnia_and_Herzegovina;129;1;127
Europe;Faroe_Islands;118;0;118
Europe;Cyprus;116;0;116
Europe;Moldova;109;1;108
Europe;Malta;107;0;104
Europe;Albania;100;4;98
Europe;Belarus;81;0;75
Europe;Ukraine;73;3;72
Europe;Azerbaijan;72;1;63
Europe;Kosovo;61;1;61
Europe;Georgia;61;0;48
Europe;Liechtenstein;46;0;45
Europe;Montenegro;27;0;27
Europe;Monaco;23;0;22
Europe;Guernsey;20;0;20
Europe;Jersey;18;0;18
Europe;Gibraltar;15;0;15
Europe;Isle_of_Man;13;0;13
Europe;Holy_See;1;0;0
Oceania;Australia;1823;7;1743
Oceania;New_Zealand;142;0;137
Oceania;Guam;29;1;29
Oceania;French_Polynesia;23;0;23
Oceania;New_Caledonia;7;0;7
Oceania;Fiji;4;0;4
Oceania;Papua_New_Guinea;1;0;1
Other;Cases_on_an_international_conveyance_Japan;696;7;0
